Start,Duration,Text
0.0,4.62,"Hi, my name is Stephanie and today I want
to talk to you about autistic masking. I"
4.62,5.58,"was diagnosed with autism late, actually
at age 23, and this is the case for a lot"
10.2,2.97,"of females on the spectrum. And that's
because we're good at something called"
13.17,5.22,"masking. That basically means hiding our
traits and acting like others."
18.39,5.82,"While everyone masks somewhat, you know, in
public, masking for someone on the"
24.21,4.95,"spectrum is a lot more frequent and
takes a lot more energy. So, the problem"
29.16,6.62,"with masking is, well, one, it's exhausting
and two, it can kind of come off as"
35.78,5.59,"though the person who is doing it isn't
necessarily genuine. And that is because"
41.37,6.779,"we tend to, kind of, look and copy what we
see. So, we might think to ourselves, oh I"
48.149,6.0,"remember so-and-so doing X, Y, & Z in
a situation similar to this, and so that"
54.149,4.651,"can sometimes make us kind of come off
as awkward and weird because it not all"
58.8,5.88,"the time fits the particular situation
we think it might apply to. Or, a lot of"
64.68,3.81,"times, we're kind of opened up to
bullying because people will kind of set"
68.49,5.55,"a social situation up or a situation
with sarcasm that's not super overt so"
74.04,7.5,"we get made fun of and we don't really
understand why. And a lot of times we can"
81.54,3.509,"kind of mask and try to copy what
other people have done and it just"
85.049,4.381,"doesn't fit in the situation. So, I think
masking benefitted me a lot when I"
89.43,5.85,"was younger, and I guess even now. I was
pretty convinced I was fairly normal to"
95.28,6.449,"an extent and it wasn't until one of the
ends of the year in middle school that I"
101.729,4.35,"realized that I was the weird kid. Some
boys had come up and they were like"
106.079,4.32,"shoving another boy forward saying, oh
you like her, you like her. And he was"
110.399,4.65,"kind of, like, disgusted. And was like, oh I
don't like her. And the reason I know"
115.049,4.89,"that I was the weird kid was because I'd
seen the situation before, where there"
119.939,5.581,"was this boy and he was kind of weird
and he would, like, hug everybody every"
125.52,2.4,"single day or something. It was just kind
of weird."
127.92,3.27,"I don't know. So, the girls, what they
would do is they'd be like, oh you like"
131.19,2.37,"him, you like him. Just to get them to, like, freak"
133.56,5.01,"out and respond and that's what they
were doing to him but I was the weird"
138.57,4.59,"one. So, maybe I wasn't as good at masking
as I thought I was. I don't know. And I'm"
143.16,6.24,"not exactly sure that I'm all that great
at masking to this day and that's"
149.4,4.05,"probably because the different demands
that I experience in life can really"
153.45,4.08,"drain my energy. So, trying to put up a
little front and mask for people and"
157.53,4.71,"stuff like that ... it's difficult. But I
can do it for short amounts of time. So, I"
162.24,3.6,"try to limit my time with people as much
as I can, especially on Sunday mornings"
165.84,6.39,"at my church. Something about, like,
standing there, flailing your arms to new"
172.23,3.33,"people because you don't know what
you're doing in the situation is"
175.56,4.65,"probably a little bit off-putting. This
is where I really need trusted people"
180.21,4.41,"around me, preferably people who are
better at social interactions than, maybe,"
184.62,5.73,"I am. I've noticed that I tend to follow
people. Like, literally, physically follow"
190.35,4.32,"people, and also follow their actions. So
this can kind of get annoying to people."
194.67,3.8,"Sometimes, my husband's been kind of
irritated because I don't necessarily"
198.47,6.04,"take the lead, like, ever or go first. So,
like, for example in a buffet line, I"
204.51,2.82,"don't want to go first.
I want someone else to go in front of me"
207.33,4.08,"that I trust because I know that they're
gonna do, like, the right thing in this"
211.41,5.64,"situation. So I can copy them and do what
they're doing. I used to not really think"
217.05,5.28,"of that like, consciously. Like, oh, I'm
gonna watch this person as they do"
222.33,5.58,"something. But as time has passed, I've
begun to realize, like, if I am told to go"
227.91,4.26,"first, it flips me out because I don't
know what to do. I want someone else to"
232.17,4.41,"be able to, like, show me what I'm
supposed to do so I can just model their"
236.58,4.409,"behavior; I can just copy their behavior.
And when I first was looking at autism"
240.989,5.25,"or Asperger's, I didn't really think that
applied to me. I've read about, like,"
246.239,4.351,"behavior modeling and, you know, copying
stuff, people and masking and stuff"
250.59,4.92,"like that, and the way it was presented
was like, oh, they study others. And so in"
255.51,4.11,"my head, I have, you know, I had to have
like a pen and paper out like, oh, this is"
259.62,3.46,"what they do. That's
not necessarily the case for me. It's a"
263.08,6.899,"very unconscious effort, but when I lack
the people to see and to watch to know"
269.979,5.31,"what to do, it becomes apparent because
suddenly it's like I don't know how to"
275.289,5.401,"function in this space. I don't know what
I'm doing and it is very, very unpleasant."
280.69,4.409,"And with some people, when I got closer
to them, I would let them see my stims"
285.099,4.891,"and I didn't know that they were stims.
So, it was kind of interesting because I"
289.99,6.87,"thought that they didn't do those things
because it wasn't the right thing to do"
296.86,5.16,"in public, or something. Maybe it wasn't
very refined. So, when we were by"
302.02,4.829,"ourselves, like, and I'm, like, going in
circles or just doing things that are"
306.849,4.41,"kind of weird and out of the ordinary, I
legitimately thought that they were just"
311.259,6.331,"acting too good because I thought that
they did that in private. I thought that"
317.59,5.19,"they did that, maybe, with their close
friends or, like, in private or something."
322.78,9.3,"But they didn't. They, they don't do what
I do. And that would really strike me as"
332.08,5.369,"weird because I sincerely thought, like,
everybody does this, they just don't do"
337.449,7.291,"it in public. Unlike me, they are not
pretending all the time. They are not"
344.74,4.229,"forcing a genuine sounding laugh at
things that are quite frankly"
348.969,5.85,"unamusing. I'm sure people do that in some
settings, but I don't think that they do"
354.819,5.16,"it as much as I do.
They don't have to worry about, like, if"
359.979,3.511,"they're standing in the right place. If
they're in someone's way. If they're"
363.49,5.01,"bothering someone by the proximity. They
don't think about that stuff. They don't"
368.5,6.3,"worry about, literally, just how their
body exists in space with others, or the"
374.8,4.979,"next thing to say, or how to decipher
when people say ,hey, how are you while"
379.779,5.88,"they're walking by. Because it's a
question, so, I, I'm supposed to answer it,"
385.659,3.661,"but then they just keep walking and then
I'm like ... I guess you're supposed to say"
389.32,3.689,"how are you back, by the way. I think
that's how this happens. I don't know. My"
393.009,5.941,"response is usually, good,
what about you, because it's fast. So, yeah,"
398.95,4.08,"and it answers the question. And I don't
know, maybe other people feel this way,"
403.03,4.83,"but for a long time, I'd have to worry
about whether what I was saying was"
407.86,5.34,"being spoken too fast or if what I'm
saying is, like, boring everyone else and"
413.2,6.06,"a lot of the times I can't tell because
I'm way too wrapped up in talking about"
419.26,5.64,"it. But I feel like it's interesting to
realize that there are so many things"
424.9,4.79,"that I'm concerned about in social
situations that other people just aren't."
429.69,4.6,"They don't have to worry about, like,
hiding certain behaviors or acting like"
434.29,4.38,"so and so, because it's just natural to
them and it's not natural to me. So, I"
438.67,4.38,"thought I'd just share my experience
with masking with you all and hope that"
443.05,4.62,"that makes a little more sense to you
because if you were like me, it kind of"
447.67,3.63,"seemed to be like people had to
literally be, like, really creepily, like,"
451.3,3.63,"sitting in a corner, writing down every
movement someone made and that's how"
454.93,5.67,"they studied people and saw what they
did and copied it or whatnot. And that"
460.6,4.98,"also might be just a case of me taking
things literally. So, whatever. If you"
465.58,3.36,"don't have that problem, cool for you. I
hope you enjoyed this video. If you did,"
468.94,3.51,"go ahead and give it a thumbs up. Let me
know your thoughts in the comments below"
472.45,4.32,"and, of course, if you're not already
subscribed to me, please do so. I post"
476.77,3.63,"every Tuesday, Thursday, and Saturday. So,
that's three times a week that you can"
480.4,6.71,"hear from me, and I hope you're having a
wonderful week. Bye!"
Start,Duration,Text
0.0,4.14,so how do you know if you're masking or
2.159,4.68,not let's talk about it if you're
4.14,4.44,watching this and you're a person who is
6.839,4.921,on the Journey of discovering your
8.58,5.34,neurodivergency or your autism you may
11.76,4.92,find yourself wondering whether or not
13.92,5.34,you're a person who even masks what your
16.68,4.92,masks look like and what aspects of
19.26,5.58,yourself that may be considered a mask
21.6,5.759,this question is a lot more normal than
24.84,4.92,you may think it is I want to get that
27.359,4.5,out there and give you guys some comfort
29.76,4.08,you're not the only person wondering
31.859,4.921,this this is probably one of the most
33.84,4.62,important questions that we begin to ask
36.78,3.779,ourselves when we are starting this
38.46,4.68,journey and on a lot of the online
40.559,4.261,autism forums that I'm on this is one of
43.14,3.54,the most common questions I see being
44.82,3.899,asked as well this is something I
46.68,4.5,wondered myself when I was starting my
48.719,5.34,journey of discovering my autism a lot
51.18,4.98,of people who may not be Autistic or may
54.059,4.441,not be neurodivergent maybe wondering
56.16,4.32,how do you not know your masking it
58.5,4.859,seems like something that you should
60.48,5.4,know because masking requires you to be
63.359,5.521,thinking about what to do within these
65.88,4.559,masks how to mask all that stuff right A
68.88,4.98,lot of people have this misconception
70.439,7.141,that masking is a conscious choice that
73.86,6.54,we make and are actively feeding into
77.58,4.74,and this is why it's a very nuanced
80.4,4.56,topic but if there's one thing we should
82.32,4.799,really understand about why a lot of
84.96,4.74,people out there may not even know that
87.119,6.241,they're masking is because a lot of
89.7,6.66,behaviors are unconscious if not most
93.36,4.619,Behavior patterns are subconscious and
96.36,4.32,let's kind of break that down a little
97.979,5.161,bit before we talk more about masking
100.68,4.74,Behavior patterns things like that
103.14,4.08,things that we do a lot of the times
105.42,4.379,especially when you're already a
107.22,4.7,full-blown adult are subconscious
109.799,4.381,because you spent a lifetime
111.92,5.32,establishing these Behavior patterns
114.18,5.399,right and so you get to a point where in
117.24,4.5,order to react a certain way in order to
119.579,4.381,do certain things even though it
121.74,5.28,requires not only your physical energy
123.96,5.159,but your mental energy as well it might
127.02,4.799,be so ingrained in who you are that you
129.119,5.821,may not even process it as masking
131.819,5.101,because you process it as just your
134.94,4.5,unique way of thinking it's just who I
136.92,4.56,am that's why it's important for us to
139.44,4.2,begin talking about the concept of what
141.48,4.02,masking is so that you can begin to
143.64,4.8,inject a little bit more awareness into
145.5,5.459,yourself so that the next time you react
148.44,5.22,a certain way or you have certain habits
150.959,4.92,come up you can be able to take a pause
153.66,4.68,and be like wait this one thing that I
155.879,5.64,usually do in certain moments like this
158.34,6.0,is actually me masking you could start
161.519,5.58,to see those patterns for what it is and
164.34,4.92,begin to understand what your masks are
167.099,4.92,and why you may be masking in certain
169.26,4.979,situations and this is why discovering
172.019,4.44,your autism as an adult is such a
174.239,4.261,profound experience because at this
176.459,4.381,point when you are a late diagnosed
178.5,5.58,person like me you've spent a lifetime
180.84,5.22,establishing yourself as a person right
184.08,4.98,I'm sure you guys can write a list of
186.06,5.22,your personality quirks but when you
189.06,5.22,learn about the neurodivergency you can
191.28,6.48,begin to understand what aspects of your
194.28,6.78,personality is attributed to autism or
197.76,5.46,ADHD or both of them so when I like to
201.06,4.56,think about masking and when I like to
203.22,4.08,explain masking to other people I like
205.62,4.38,to break it down into two different
207.3,4.98,categories there is masking and there is
210.0,4.8,also scripting these both go hand in
212.28,4.5,hand a lot of the times you can't have
214.8,4.14,one without having the other I am
216.78,4.56,currently creating a workbook just for
218.94,5.219,this topic of learning about what your
221.34,4.74,masks are and uncovering your mask so if
224.159,3.481,that's something that you are interested
226.08,4.019,in Click through the link in my
227.64,5.159,description box to my Etsy shop and you
230.099,4.92,could just for five dollars download
232.799,4.8,this workbook for yourself the goal of
235.019,4.621,my channel is not only to make learning
237.599,4.261,about your autism something that is
239.64,4.62,accessible but also something that is
241.86,5.159,Affordable because not everyone has
244.26,5.039,access to getting the help that they may
247.019,4.741,need it's just a part of my mission plan
249.299,4.621,to make these types of workbooks and
251.76,4.8,videos accessible to you guys it's also
253.92,4.379,about the honor System you know I talk
256.56,3.299,about this in so much detail in these
258.299,4.321,videos so technically you could work
259.859,5.041,through these on your own for free but
262.62,4.98,by going to my Etsy shop and paying that
264.9,5.22,five dollars to download the actual
267.6,5.159,product it's a really great way to
270.12,5.7,support a small Channel like me I put so
272.759,5.041,much time heart and energy and thoughts
275.82,3.54,into being able to make these types of
277.8,3.78,workbooks and this is something that I'm
279.36,4.5,super passionate about so you know being
281.58,4.679,able to actually like buy my product and
283.86,4.559,support me and what I do is a really
286.259,4.081,great way to just give back to me as I
288.419,4.56,give back to you as we give back to the
290.34,4.919,community and the cycle goes on there
292.979,4.681,are some precursor questions that I have
295.259,5.341,written down that we should be asking
297.66,5.28,ourselves this is where we can begin to
300.6,6.06,warm ourselves up into this type of
302.94,6.3,topic so as I ask these questions I want
306.66,3.8,you guys to answer back to me out loud
309.24,3.959,with the
310.46,4.9,aura the reason why I want this to
313.199,4.081,happen is because I want you guys to not
315.36,4.92,have to think too much about it and just
317.28,5.82,give your immediate gut instinct answer
320.28,5.22,are you guys ready
323.1,4.74,do I feel uncomfortable in social
325.5,4.38,situations
327.84,3.96,do I feel drained after social
329.88,5.28,situations
331.8,5.94,do I avoid social situations
335.16,4.68,do I need time to recoup after social
337.74,4.679,situations
339.84,4.62,do I need to know who will be at social
342.419,3.84,situations
344.46,4.079,do I need to know where the social
346.259,4.261,situation will be
348.539,4.621,do I need to know what we will be doing
350.52,5.88,at social situations
353.16,5.52,do I analyze how I was acting and
356.4,4.32,talking during or after a social
358.68,4.5,interaction
360.72,4.5,do I dread social interaction despite
363.18,4.2,how pleasant I come across on the
365.22,3.84,surface and despite how much I am
367.38,4.46,actually enjoying myself during the
369.06,2.78,social interaction
372.0,5.88,and the last question is would I act or
374.4,5.579,talk like this if I was alone
377.88,3.78,these are very important questions that
379.979,4.261,I think you guys should begin to think
381.66,4.56,about when it comes to whether or not
384.24,4.62,you may or may not be masking the more
386.22,5.039,you say to these questions I feel like
388.86,4.26,it is a high possibility that you are
391.259,4.22,masking situations that you may be
393.12,4.799,masking is in family situations
395.479,4.66,interactions with friends interactions
397.919,4.081,within work interactions within your
